,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MTERF4,0.23651043845831035,0.057600139591976435,1.024727389414725,0.056210207892339895,0.9551743492992513,0.9999414166694955
MTERF3,0.16407735930459835,0.1738731138294167,1.3697967368192396,0.1269335144082485,0.8989930205151951,0.9999414166694955
MTPAP,0.32535504124353154,0.30228159538263294,1.0077328450134153,0.2999620354525696,0.7642061142186163,0.9999414166694955
MTOR,0.2775349799409359,-0.039137140994057455,1.2817923148045585,-0.030533137499755485,0.9756418657912537,0.9999414166694955
MTO1,0.6050403849100271,0.15490637740507468,0.9064931587396308,0.17088532429792772,0.8643139364369204,0.9999414166694955
MTND5P12,6.505810686269022,-0.2382161506385835,0.27228772001842333,-0.8748692398704777,0.3816450576688212,0.9999414166694955
MTND4P12,3.982912328713823,0.3897355071250604,0.5702676094745838,0.6834256420141822,0.4943379216025431,0.9999414166694955
MTND4LP30,0.18170365817706005,0.7785380918069514,1.2959316823425278,0.6007555046417764,0.5480028441825261,0.9999414166694955
MTND2P28,4.671012414648446,0.11817224280216759,0.26066758546403335,0.45334460206013183,0.6503006205575459,0.9999414166694955
MTND1P23,12.781986318589759,-0.36781703269312355,0.2745895313853096,-1.3395158615023643,0.18040279430996853,0.9999414166694955
MTMR9,0.20131191203209056,-0.398393308387778,1.1727573832728415,-0.33970650201832236,0.7340775647471928,0.9999414166694955
MTMR6,0.3296589162247773,0.6530097747859375,1.0238191848370104,0.6378174822831584,0.52359249799412,0.9999414166694955
MTMR4,0.4289748359858802,0.8294868480821004,0.8814484222513029,0.9410497848115857,0.3466793470348113,0.9999414166694955
MTMR3,0.3047076991362234,0.3583258996970637,1.0589959012448176,0.3383638211213683,0.7350890344709373,0.9999414166694955
MTMR2,0.18563164573531893,-0.811370281694063,1.8093924035711315,-0.4484214038329614,0.6538490974500977,0.9999414166694955
MTMR14,0.689940537617314,-0.22910583522498262,0.7267671081755562,-0.31523968634205213,0.7525796751831795,0.9999414166694955
